ID,Ct value 
1-1A,29.516325
1-1B,0.0
1-1C,24.00067329
2-1A,28.94734192
2-1B,30.8439827
2-1C,21.98752975
3-1A,21.2170887
3-1B,29.89667511
3-1C,23.48401451
4-1A,20.53460503
4-1B,29.71977806
4-1C,18.40416527
5-1A,18.98772812
5-1B,27.2611084
5-1C,20.00053787
1-2A,31.93816566
1-2B,27.09733582
1-2C,0.0
2-2A,31.48833847
2-2B,30.5477562
2-2C,29.39893532
3-2A,30.93430138
3-2B,0.0
3-2C,19.57328606
4-2A,31.66678619
4-2B,27.45552063
4-2C,19.29819679
5-2A,32.99562073
5-2B,28.77341461
5-2C,19.75522614
1-3A,28.00511169
1-3B,32.47185898
1-3C,29.20749664
2-3A,30.58189964
2-3B,30.49250412
2-3C,32.67770767
3-3A,29.35940933
3-3B,27.93370438
3-3C,31.40825844
4-3A,24.89773178
4-3B,25.31778908
4-3C,23.93490028
5-3A,24.42867851
5-3B,22.81146049
5-3C,22.70562363
1-4A,28.33587456
1-4B,33.00229645
1-4C,30.25036812
2-4A,32.8780365
2-4B,36.15965271
2-4C,32.20050049
3-4A,29.45631599
3-4B,22.81902885
3-4C,28.64315605
4-4B,29.50951958
4-4C,26.06284332
5-4B,23.85296249
5-4C,29.41155243
1-5A,31.47867775
1-5B,30.81405067
1-5C,33.88879395
2-5A,22.12449455
2-5B,29.42778587
2-5C,29.58382607
3-5A,19.83196068
3-5B,25.40550613
4-5A,27.08831024
4-5B,0.0
4-5C,0.0
5-5A,24.27093315
5-5B,20.37852859
5-5C,28.23448753
1-6A,35.76789093
1-6B,31.91221428
1-6C,34.57832336
2-6A,31.91869545
2-6B,32.18756485
2-6C,32.30138397
3-6A,33.81880569
3-6C,0.0
4-6A,28.61102676
4-6B,32.63500595
4-6C,0.0
5-6A,28.43983459
5-6B,28.4342041
5-6C,28.36260986
1-7A,32.13287735
1-7B,24.68663597
1-7C,31.77181625
2-7A,30.85372925
2-7B,20.76512337
2-7C,25.25243378
3-7A,31.78084755
3-7B,17.77462387
3-7C,28.84676743
4-7A,32.54991531
4-7B,19.4487114
4-7C,0.0
5-7A,29.38527107
5-7B,21.58911324
5-7C,16.88303947
1-8A,36.59276199
1-8B,0.0
1-8C,30.21664047
2-8A,33.16543579
2-8B,32.16133881
2-8C,0.0
3-8A,32.78339767
3-8B,31.79383087
4-8A,0.0
4-8B,0.0
4-8C,35.94065094
5-8A,25.27497482
5-8B,28.44298553
5-8C,25.71208191
1-9A,37.08397675
1-9B,36.68370438
1-9C,32.86885452
2-9A,33.96181488
2-9B,34.21862793
2-9C,30.49855995
3-9A,31.75401497
4-9A,0.0
4-9B,0.0
4-9C,0.0
5-9A,30.61333656
5-9B,29.8515892
5-9C,29.39944077
1-10A,33.7638588
1-10B,0.0
1-10C,0.0
2-10A,32.13558578
2-10C,33.26161957
3-10A,26.94146729
3-10B,25.18592262
3-10C,33.08760071
4-10A,0.0
4-10B,0.0
4-10C,0.0
5-10A,29.60596275
5-10B,29.28565216
5-10C,26.8471756
1-11A,33.5262146
1-11B,35.6033287
1-11C,0.0
2-11B,32.96471405
2-11C,31.25826263
3-11A,0.0
3-11B,28.21678925
4-11A,29.87581253
4-11B,28.21400833
4-11C,29.9002533
5-11A,0.0
5-11B,0.0
5-11C,0.0
1-12A,34.06967163
1-12B,38.48167801
1-12C,33.34373093
2-12A,29.98820686
2-12B,30.76006508
2-12C,31.44450951
3-12A,32.31486893
3-12B,0.0
3-12C,34.4593544
4-12A,29.71647072
4-12C,30.322649
5-12A,0.0
5-12B,0.0
5-12C,0.0
