,Num_Topics,Perplexity,Coherence
0,2,1.249320644634035,0.6809165437243081
1,3,1.388374401855354,0.6759426351721709
2,4,1.4815088787820272,0.6758771685346605
3,5,1.7020694892145298,0.6669472017317902
4,6,1.8291592900623597,0.6623384851716315
5,7,1.884621273863941,0.6545426106913269
6,8,2.0348909530513164,0.6578025748476226
7,9,1.9150794094654768,0.6598167128709711
8,10,1.9017039022158333,0.6538631668914914
9,11,2.048439742896408,0.6546488781756783
10,12,1.952690423050656,0.6531065548036706
11,13,1.9589257537458162,0.6560829573597692
12,14,1.9957919209902706,0.6491152414637342
13,15,2.055723972911784,0.6432630835314702
14,16,2.1238065486562303,0.6492087562062296
15,17,2.102454186966155,0.6463317558892969
16,18,2.054779213754633,0.6517712332484571
17,19,2.042491550706754,0.6503589706584111
